Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Sector PE","PB Ratio","Sector PB","Face value","Debt to Equity","Total Assets","Return on Assets","Total Liabilities","1D Return","1W Return","1M Return","6M Return","1Y Return","Return on Investment","Return on Equity","Dividend Yield"
Vodafone Idea Ltd,IDEA,"Telecom Services","55258.209090774","-1.7689193137540336","-125.56801217225464","-0.530478128259426","11.399967014116141","10",,"184997.3","-15.928207220069345","289164.10000000003","-0.12903225806451338","-6.626506024096393","-0.8951406649616405","-53.597122302158276","-53.09090909090909",,,
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","54672.87491195","49.73788223644951","58.43077060382289","4.413573338151386","3.9767511932422335","2","0.3745116020743593","19147.82","6.011017263587769","6760.38","-7.879043431118606","4.844006568144487","-8.680345453545309","-23.314529271656014","23.285904308920145","8.780866264004489","9.369608652069251","0.1634240217729447"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","54485.6353491","50.93448318167374","27.331800970477047","10.664992835756914","3.1092469554193976","2","0.010777418704478325","6555.709999999999","17.46491612605132","1446.8799999999992","-5.622847838762559","-2.2633921851142986","-5.850121704904441","-26.64979393607743","9.287981532246429","21.02755868153658","22.49449318942901","0.6994148229314806"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","53926.655178375","329.262762109996","42.97729885593176","39.65574295952922","6.243671579386337","2","0.15713266709317802","4707.370000000001","3.7974096555945485","3347.500000000001","-5.301290901174807","-11.016371077762612","3.192224688380806","5.504906655389856","115.63810766610459","14.005910203044042","12.719887541841699","0.03143653160746775"
Indian Renewable Energy Development Agency Ltd,IREDA,"Specialized Finance","53723.040943528","42.90189577276378","16.376340337400556","6.276481460604575","2.2787858595073875","10","5.804933044528718","62600.42","2.215406400658556","54041","-0.6313696246582203","-12.268841591067687","-8.100328947368418","-30.99257724840324","64.10509031198687","2.1498883705534504","17.278584630541467",
Yes Bank Ltd,YESBANK,"Private Banks","53672.668123888","41.76178844226864","16.376340337400556","1.2732161359938834","2.2787858595073875","2","0","406361.55","0.33751783119326134","364206.36","-4.677060133630288","-9.79407332998493","-14.881516587677726","-35.102350265352534","-27.43434343434343",,"3.1016235975440556",
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","53267.6610352","32.43696590236207","27.331800970477047","5.6386810215913705","3.1092469554193976","1","0.052093665282428085","15845.380000000001","10.918751151090193","6398.550000000004","-5.953340789097248","-1.8030902822117203","8.06959356905953","13.169754631947928","49.97926171712982","18.399931582310018","18.925104669534697","0.33165672749035635"
NMDC Ltd,NMDC,"Mining - Iron Ore","52750.9053","9.46906054171072","27.331800970477047","2.0547302701563632","3.1092469554193976","1","0.13082973453340507","35661.03","16.980748758457615","9988.119999999999","-4.822335025380709","-6.621241297585551","-20.534476238497415","-27.16089349303982","-14.040114613180513","19.45842629209667","23.06397888381565","4.027777777777778"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","52673.5417606","209.02199111349296","36.74099419741881","8.997549073333548","6.522931535973459","1","0.12702482486962374","11994.43","2.2615642665666216","6140.22","-4.304177938082351","-9.224850617991322","-7.131891137473831","3.981188151147983","50.058915020973764","4.666375662337961","4.441338640615494","0.345365122449529"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","52639.6360655","33.85577498713676","35.94234348068758","5.985442909407012","9.469682682020355","10","0.17551318364316323","14000.32","12.191410842829823","5205.71","-4.716981132075472","-0.3418803418803419","-7.92216817234191","1.4852841770648773","5.77527276881772","16.5956677094034","18.58781968325319","1.9747267880168358"
